title,image,desc,pub_date
"""Those Who Fired Shots At Ram Bhakts..."": Yogi Adityanath",https://c.ndtvimg.com/2023-05/7pkevi78_yogi-adityanath_625x300_01_May_23.jpg,"Urging people to vote for the BJP in urban local body polls, Uttar Pradesh Chief Minister Yogi Adityanath, said that BJP will take Ayodhya to the pinnacle of development.",09 May 2023
'The Kerala Story' Crew Member Provided Security After Threat: Mumbai Cops,https://c.ndtvimg.com/2023-05/581o38is_the-kerala-story-movie-poster_625x300_02_May_23.jpg,"A crew member of the movie 'The Kerala Story' received a threatening message from an unknown number, according to Mumbai Police.",09 May 2023
2020 Delhi Riots: Court Directs To Record Statement Of Man Beaten By Cops,https://c.ndtvimg.com/court-generic_625x300_1527245477936.jpg,"The Delhi High Court directed the police to record the statement of one of the five men, allegedly beaten by cops and forced to sing the national anthem, before the magistrate within a week.",09 May 2023
"The Kerala Story Is ""Likely To Cause Breach Of Peace"": Bengal On Film Ban",https://c.ndtvimg.com/2023-05/m2ksa0l8_the-kerala-story-movie-poster_625x300_03_May_23.jpg,"The West Bengal in a notification said that the movie 'The Kerala Story' is ""likely to cause a breach of peace"" and that it has prohibited the screening of the film to avoid ""any incident of hatred or violence to maintain law and order in the state"".",09 May 2023
"Gold Biscuits Worth Rs 4.24 Crore Seized In Bengal, 2 Bangladeshi Arrested",https://c.ndtvimg.com/2021-06/dnv3p47_gold-biscuits_625x300_17_June_21.jpg,Border Security Force on Monday apprehended two smugglers and seized 52 gold biscuits worth Rs four crore 24 lacks at Integrated Check Post (ICP) Petrapole in North 24 Parganas district of West Bengal.,09 May 2023
"""Your Resolution Is My Resolution"": PM To Karnataka People Ahead Of Polls",https://c.ndtvimg.com/2023-04/ml3glc8_pm-modi-pti_625x300_28_April_23.jpg,"After the high-voltage campaign for the May 10 assembly elections in Karnataka ended, Prime Minister Narendra Modi on Tuesday assured the people of the state saying that he envisioned their dreams as his own.",09 May 2023
"Delhi Police Bust Interstate Railway Job Racket, 4 Arrested",https://c.ndtvimg.com/2022-06/ars722ac_police-generic_625x300_14_June_22.jpg,"Four people have been arrested for their alleged involvement in an interstate railway job racket, Delhi Police said on Monday.",09 May 2023
Amit Shah Arrives In Kolkata For Day-Long Visit,https://c.ndtvimg.com/2018-12/p2una0c_amit-shah-pti-650_625x300_14_December_18.jpg,Union Home Minister Amit Shah on Tuesday arrived in Kolkata for his day-long visit to the state.,09 May 2023
"""Man-Made Problem"": Mamata Banerjee Slams Centre Over Manipur Violence",https://c.ndtvimg.com/2023-04/dnerfoeg_mamata-banerjee-1200_625x300_26_April_23.jpg,"Expressing concern over the current situation in violence-hit Manipur, West Bengal CN Mamata Banerjee alleged that BJP government is not providing a clear picture of the death toll in the northeastern state where shoot-at-sight orders are in force.",09 May 2023
Goa Announces Paid Holiday On Karnataka Election Day,https://c.ndtvimg.com/2022-05/inj5l97k_pramod-sawant-650_625x300_08_May_22.jpg,"The BJP government in Goa has declared May 10 as paid holiday, which will also cover private establishments and industrial workers, in view of voting for Assembly polls scheduled in neighbouring Karnataka on that day.",09 May 2023
